Nombre,Distrito,Partido,Perfil
Craig Wilcox,4,R,https://www.ilga.gov/Senate/Members/Details/3336
Karina Villa,33,D,https://www.ilga.gov/Senate/Members/Details/3385
Meg Loughran Cappel,52,D,https://www.ilga.gov/Senate/Members/Details/3380
Mike Porfirio,54,D,https://www.ilga.gov/Senate/Members/Details/3404
Andrew S. Chesney,180,R,https://www.ilga.gov/Senate/Members/Details/3410
Christopher Belt,187,D,https://www.ilga.gov/Senate/Members/Details/3337
Doris Turner,228,D,https://www.ilga.gov/Senate/Members/Details/3399
Linda Holmes,422,D,https://www.ilga.gov/Senate/Members/Details/3270
Sara Feigenholtz,523,D,https://www.ilga.gov/Senate/Members/Details/3376
Chapin Rose,1006,R,https://www.ilga.gov/Senate/Members/Details/3295
Robert F. Martwick,1035,D,https://www.ilga.gov/Senate/Members/Details/3369
Willie Preston,1607,D,https://www.ilga.gov/Senate/Members/Details/3405
"Li Arellano, Jr.",1942,R,https://www.ilga.gov/Senate/Members/Details/3383
Donald P. DeWitte,1977,R,https://www.ilga.gov/Senate/Members/Details/3334
Laura Fine,2119,D,https://www.ilga.gov/Senate/Members/Details/3338
Jil Tracy,2479,R,https://www.ilga.gov/Senate/Members/Details/3319
Paul Faraci,2507,D,https://www.ilga.gov/Senate/Members/Details/3412
"Elgie R. Sims, Jr.",3201,D,https://www.ilga.gov/Senate/Members/Details/3331
Julie A. Morrison,3650,D,https://www.ilga.gov/Senate/Members/Details/3294
Sue Rezin,3840,R,https://www.ilga.gov/Senate/Members/Details/3281
Laura M. Murphy,3875,D,https://www.ilga.gov/Senate/Members/Details/3313
Michael W. Halpin,4307,D,https://www.ilga.gov/Senate/Members/Details/3408
Mark L. Walker,4471,D,https://www.ilga.gov/Senate/Members/Details/3449
Bill Cunningham,5145,D,https://www.ilga.gov/Senate/Members/Details/3291
Erica Harriss,5247,R,https://www.ilga.gov/Senate/Members/Details/3411
Celina Villanueva,5304,D,https://www.ilga.gov/Senate/Members/Details/3375
Robert Peters,5338,D,https://www.ilga.gov/Senate/Members/Details/3343
Dave Syverson,5413,R,https://www.ilga.gov/Senate/Members/Details/3265
Ram Villivalam,5500,D,https://www.ilga.gov/Senate/Members/Details/3345
Dale Fowler,5509,R,https://www.ilga.gov/Senate/Members/Details/3318
Omar Aquino,5652,D,https://www.ilga.gov/Senate/Members/Details/3316
Jason Plummer,5755,R,https://www.ilga.gov/Senate/Members/Details/3344
Neil Anderson,5957,R,https://www.ilga.gov/Senate/Members/Details/3312
Mattie Hunter,5966,D,https://www.ilga.gov/Senate/Members/Details/3269
Sally J. Turner,6216,R,https://www.ilga.gov/Senate/Members/Details/3397
Lakesia Collins,6252,D,https://www.ilga.gov/Senate/Members/Details/3443
Chris Balkema,6597,R,https://www.ilga.gov/Senate/Members/Details/3413
Mary Edly-Allen,7353,D,https://www.ilga.gov/Senate/Members/Details/3407
Patrick J. Joyce,7419,D,https://www.ilga.gov/Senate/Members/Details/3372
Cristina Castro,7746,D,https://www.ilga.gov/Senate/Members/Details/3317
Dan McConchie,8010,R,https://www.ilga.gov/Senate/Members/Details/3315
Darby A. Hills,8010,R,https://www.ilga.gov/Senate/Members/Details/3460
Steve Stadelman,8022,D,https://www.ilga.gov/Senate/Members/Details/3296
"Napoleon Harris, III",8066,D,https://www.ilga.gov/Senate/Members/Details/3292
Terri Bryant,8137,R,https://www.ilga.gov/Senate/Members/Details/3386
Suzy Glowiak Hilton,8148,D,https://www.ilga.gov/Senate/Members/Details/3341
Don Harmon,8176,D,https://www.ilga.gov/Senate/Members/Details/3268
Adriane Johnson,8181,D,https://www.ilga.gov/Senate/Members/Details/3378
Graciela Guzmán,8191,D,https://www.ilga.gov/Senate/Members/Details/3442
Laura Ellman,8192,D,https://www.ilga.gov/Senate/Members/Details/3339
Steve McClure,8206,R,https://www.ilga.gov/Senate/Members/Details/3342
David Koehler,8250,D,https://www.ilga.gov/Senate/Members/Details/3271
Mike Simmons,8492,D,https://www.ilga.gov/Senate/Members/Details/3398
Kimberly A. Lightford,8505,D,https://www.ilga.gov/Senate/Members/Details/3264
Rachel Ventura,8800,D,https://www.ilga.gov/Senate/Members/Details/3409
John F. Curran,9407,R,https://www.ilga.gov/Senate/Members/Details/3329
Javier L. Cervantes,9415,D,https://www.ilga.gov/Senate/Members/Details/3403
Seth Lewis,9463,R,https://www.ilga.gov/Senate/Members/Details/3406
"Emil Jones, III",9573,D,https://www.ilga.gov/Senate/Members/Details/3276
Michael E. Hastings,9595,D,https://www.ilga.gov/Senate/Members/Details/3293
